dataset_id,row_id,latitude,longitude,sp_code,scientific,common,tsn,count,series_id,obs_date,date_time,last_mod,provider,owner,oceano,depth,ds_type,platform
1047,1047_8718,35.65,-127.07,077,Cetacea,cetaceans,180403,,,2001-08-03,2001-08-03 18:17:16,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.1100,""CHL_M"":0.1100,""CHL_Y"":0.2100,""SSH_D"":60.11,""SST_D"":18.300,""SST_M"":18.600,""SST_Y"":15.300,""BATH"":-4782,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_8714,35.29,-127.17,077,Cetacea,cetaceans,180403,,,2001-08-03,2001-08-03 15:35:47,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.1900,""CHL_Y"":0.2000,""SSH_D"":60.25,""SST_D"":18.675,""SST_M"":18.525,""SST_Y"":16.200,""BATH"":-4785,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_9010,37.19,-126.61,017,Delphinus delphis,Short-beaked Common Dolphin,180438,41,,2001-10-14,2001-10-14 07:46:45,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.3500,""CHL_Y"":0.3500,""SSH_D"":47.55,""SST_D"":-9999,""SST_M"":15.975,""SST_Y"":14.400,""BATH"":-4542,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_8726,37.09,-126.57,074,Balaenoptera physalus,Fin Whale,180527,3,,2001-08-04,2001-08-04 20:00:54,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.4100,""CHL_Y"":0.3500,""SSH_D"":59.61,""SST_D"":16.725,""SST_M"":16.575,""SST_Y"":14.175,""BATH"":-4538,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_8724,36.88,-126.61,074,Balaenoptera physalus,Fin Whale,180527,6,,2001-08-04,2001-08-04 18:36:55,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.3700,""CHL_Y"":0.3200,""SSH_D"":61.90,""SST_D"":17.250,""SST_M"":16.425,""SST_Y"":14.550,""BATH"":-4618,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_8722,36.44,-126.77,074,Balaenoptera physalus,Fin Whale,180527,5,,2001-08-04,2001-08-04 13:35:02,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.2800,""CHL_Y"":0.2400,""SSH_D"":59.57,""SST_D"":17.325,""SST_M"":17.175,""SST_Y"":14.925,""BATH"":-4735,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_9011,37.21,-126.73,074,Balaenoptera physalus,Fin Whale,180527,3,,2001-10-14,2001-10-14 08:35:05,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.3500,""CHL_Y"":0.3500,""SSH_D"":47.26,""SST_D"":-9999,""SST_M"":15.675,""SST_Y"":14.175,""BATH"":-4557,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_8723,36.44,-126.77,075,Balaenoptera musculus,Blue Whale,180528,4,,2001-08-04,2001-08-04 13:35:02,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.2800,""CHL_Y"":0.2400,""SSH_D"":59.57,""SST_D"":17.325,""SST_M"":17.175,""SST_Y"":14.925,""BATH"":-4735,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_8711,34.82,-127.3,021,Grampus griseus,Risso's Dolphin,180457,37,,2001-08-03,2001-08-03 12:19:36,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":0.1800,""SSH_D"":60.61,""SST_D"":18.975,""SST_M"":18.825,""SST_Y"":15.975,""BATH"":-4861,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_8707,34.14,-126.53,021,Grampus griseus,Risso's Dolphin,180457,8,,2001-08-02,2001-08-02 19:24:26,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.1300,""CHL_Y"":0.1700,""SSH_D"":65.70,""SST_D"":-9999,""SST_M"":18.000,""SST_Y"":15.750,""BATH"":-4687,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
