dataset_id,row_id,series_id,lon_s,lat_s,lon_e,lat_e,date_s,date_e,datetime_s,datetime_e,length_km,speed_kph,eff_status,ds_type,id_obs
1056,1056_90917601,,-122.29,36.13,-122.25,36.12,2005-07-21,2005-07-21,2005-07-21 07:02:08,2005-07-21 07:12:08,3.7679,22.6076,,lneff,1055
1056,1056_90917600,,-122.32,36.14,-122.29,36.13,2005-07-21,2005-07-21,2005-07-21 06:52:08,2005-07-21 07:02:08,2.9194,17.5163,,lneff,1055
1056,1056_90917599,,-122.36,36.15,-122.32,36.14,2005-07-21,2005-07-21,2005-07-21 06:42:08,2005-07-21 06:52:08,3.7671,22.6024,,lneff,1055
1056,1056_90917598,,-122.36,36.15,-122.36,36.15,2005-07-21,2005-07-21,2005-07-21 06:41:25,2005-07-21 06:42:08,0.0,0.0,,lneff,1055
1056,1056_90917597,,-122.39,36.15,-122.36,36.15,2005-07-21,2005-07-21,2005-07-21 06:32:08,2005-07-21 06:41:25,2.6998,17.4492,,lneff,1055
1056,1056_90917596,,-122.42,36.16,-122.39,36.15,2005-07-21,2005-07-21,2005-07-21 06:25:26,2005-07-21 06:32:08,2.9188,26.1381,,lneff,1055
1056,1056_90917595,,-121.92,36.22,-121.92,36.22,2005-07-20,2005-07-20,2005-07-20 20:19:16,2005-07-20 20:20:19,0.0,0.0,,lneff,1055
1056,1056_90917594,,-121.96,36.23,-121.92,36.22,2005-07-20,2005-07-20,2005-07-20 20:10:04,2005-07-20 20:19:16,3.7636,24.545,,lneff,1055
1056,1056_90917593,,-121.96,36.23,-121.96,36.23,2005-07-20,2005-07-20,2005-07-20 20:10:02,2005-07-20 20:10:04,0.0,0.0,,lneff,1055
1056,1056_90917592,,-121.96,36.23,-121.96,36.23,2005-07-20,2005-07-20,2005-07-20 20:09:16,2005-07-20 20:10:02,0.0,0.0,,lneff,1055
1056,1056_90917591,,-121.99,36.23,-121.96,36.23,2005-07-20,2005-07-20,2005-07-20 20:00:39,2005-07-20 20:09:16,2.697,18.7801,,lneff,1055
1056,1056_90917590,,-121.99,36.24,-121.99,36.23,2005-07-20,2005-07-20,2005-07-20 19:59:16,2005-07-20 20:00:39,1.1096,48.1287,,lneff,1055
1056,1056_90917589,,-122.01,36.24,-121.99,36.24,2005-07-20,2005-07-20,2005-07-20 19:54:24,2005-07-20 19:59:16,1.7978,22.1646,,lneff,1055
1056,1056_90917588,,-122.03,36.24,-122.01,36.24,2005-07-20,2005-07-20,2005-07-20 19:49:16,2005-07-20 19:54:24,1.7978,21.0132,,lneff,1055
1056,1056_90917587,,-122.06,36.25,-122.03,36.24,2005-07-20,2005-07-20,2005-07-20 19:39:16,2005-07-20 19:49:16,2.9159,17.4954,,lneff,1055
1056,1056_90917586,,-122.1,36.26,-122.06,36.25,2005-07-20,2005-07-20,2005-07-20 19:29:16,2005-07-20 19:39:16,3.7623,22.5736,,lneff,1055
1056,1056_90917585,,-122.11,36.26,-122.1,36.26,2005-07-20,2005-07-20,2005-07-20 19:26:18,2005-07-20 19:29:16,0.8987,18.1753,,lneff,1055
1056,1056_90917584,,-122.12,36.26,-122.11,36.26,2005-07-20,2005-07-20,2005-07-20 19:23:11,2005-07-20 19:26:18,0.8987,17.3006,,lneff,1055
1056,1056_90917583,,-122.12,36.26,-122.12,36.26,2005-07-20,2005-07-20,2005-07-20 19:20:14,2005-07-20 19:23:11,0.0,0.0,,lneff,1055
1056,1056_90917582,,-122.13,36.26,-122.12,36.26,2005-07-20,2005-07-20,2005-07-20 19:19:00,2005-07-20 19:20:14,0.8987,43.719,,lneff,1055
1056,1056_90917581,,-122.16,36.27,-122.13,36.26,2005-07-20,2005-07-20,2005-07-20 19:09:16,2005-07-20 19:19:00,2.9153,17.9709,,lneff,1055
1056,1056_90917580,,-122.17,36.27,-122.16,36.27,2005-07-20,2005-07-20,2005-07-20 18:57:50,2005-07-20 19:08:53,0.8986,4.879,,lneff,1055
1056,1056_90917579,,-122.2,36.28,-122.17,36.27,2005-07-20,2005-07-20,2005-07-20 18:49:16,2005-07-20 18:57:50,2.915,20.416,,lneff,1055
