dataset_id,row_id,latitude,longitude,sp_code,scientific,common,tsn,count,series_id,date_time,last_mod,provider,owner,oceano,depth,ds_type
219,219_310,32.95,-117.3,California sea lion,Zalophus californianus,California sea lion,180621,1,,8/20/96 10:49,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":-9999,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":17.250,""BATH"":-58,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_311,32.96,-117.3,California sea lion,Zalophus californianus,California sea lion,180621,1,,8/20/96 10:52,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":-9999,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":16.425,""BATH"":-52,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_312,32.97,-117.3,"Unidentified common dolphin, saddleback dolphin, whitebelly porpoise",Delphinus,common dolphins,180437,225,,8/20/96 10:57,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":-9999,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":16.425,""BATH"":-52,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_962,32.59,-117.97,Northern elephant seal,Mirounga angustirostris,northern elephant seal,180672,1,,10/14/96 12:51,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":57.77,""SST_D"":18.975,""SST_M"":18.225,""SST_Y"":17.475,""BATH"":-696,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_965,32.65,-117.86,Blue whale,Balaenoptera musculus,blue whale,180528,1,,10/14/96 13:36,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":53.84,""SST_D"":19.125,""SST_M"":18.150,""SST_Y"":17.550,""BATH"":-538,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_966,32.65,-117.87,Northern elephant seal,Mirounga angustirostris,northern elephant seal,180672,1,,10/14/96 13:39,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":53.84,""SST_D"":18.900,""SST_M"":18.150,""SST_Y"":17.475,""BATH"":-538,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_967,32.65,-117.88,Blue whale,Balaenoptera musculus,blue whale,180528,2,,10/14/96 13:41,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":53.84,""SST_D"":18.900,""SST_M"":18.150,""SST_Y"":17.475,""BATH"":-486,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_964,32.6,-117.93,Blue whale,Balaenoptera musculus,blue whale,180528,2,,10/14/96 13:02,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":57.77,""SST_D"":18.900,""SST_M"":18.075,""SST_Y"":17.475,""BATH"":-256,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_963,32.6,-117.95,Unidentified rorqual,Balaenoptera,baleen whales,180523,1,,10/14/96 12:57,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":57.77,""SST_D"":18.975,""SST_M"":18.225,""SST_Y"":17.475,""BATH"":-360,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_968,32.66,-117.9,Blue whale,Balaenoptera musculus,blue whale,180528,1,,10/14/96 13:48,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":53.84,""SST_D"":18.975,""SST_M"":18.225,""SST_Y"":17.775,""BATH"":-443,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
